cat,b,bler,bri,c,cler,cri,t,tler,tri,x,xler,xri
bapi,0.0805155945293852,6.30550807631878,0.999999505129337,0.00932410916068344,15.954589770191,1,-0.0163423492632462,-0.371011414170144,0.298534680588881,-0.245336937433879,5.9852756804618,0.99999896551578
bu,0.0471613225434082,0.688514677507658,0.82996279842913,-0.569001291222174,Inf,1,0.68283018738908,2.95172382880201,0.998883673881139,-0.0540514719175358,-0.0310508171188218,0.482133323165349
ag,0.0163939466928769,10.6133076216475,0.999999999975639,-0.179118347612178,15.954589770191,1,-0.0495837923672869,-0.240785310668043,0.364837536089904,0.263548327739478,5.14021637969725,0.999992759301305
onh,-0.00685051244544087,0.283907982989465,0.657848781172516,-0.0827003174105728,Inf,1,-0.0264686466125247,-0.144026240386231,0.417843421505454,-0.0201812930138768,-0.2260947602033,0.37271137749583
onn,0.145179130596563,Inf,1,-0.699779807016688,Inf,1,0.0923155967683723,-0.0287610130395435,0.483449878253943,0.0700421323132975,0.375925678875379,0.703829505614001
inv,-0.0593961236324839,-0.31572213903497,0.325858434229425,-3.79694057888764,15.954589770191,1,-0.0185194398424728,-0.454994233898218,0.259674132882144,-0.0107445400007518,-1.01721292820343,0.0876862122059532
