"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"barloy","4","3","control","2",,,,,"ag",,,,,,,
"barloy","4","3","control","2",,,,,"ag",,,,,,,
"barloy","4","3","control","2",,,,,"ag",,,,,,,
"barloy","4","3","control","2","bapi",,,,"ag","bu",,,,,,
"barloy","4","3","control","2","bapi",,,,"ag",,,,,,,
"barloy","4","3","control","2","bapi",,,,"bu",,,,,,,
"barloy","4","3","control","2","bapi",,,,"bu","ag",,,,,,
"barloy","4","3","control","2","bapi",,,,"onh","bu",,,,,,
"barloy","4","3","control","2","bapi",,,,"bu",,,,,,,
"barloy","4","3","control","2","bapi",,,,"bu","jusp",,,,,,
"barloy","4","3","control","2","bapi",,,,"jusp",,,,,,,
"barloy","4","3","control","2",,,,,"jusp",,,,,,,
"barloy","4","3","control","2","bapi",,,,"jusp",,,,,,,
"barloy","4","3","control","2","bapi",,,,"bg",,,,,,,
"barloy","4","3","control","2","bapi",,,,"jusp","ag",,,,,,
"barloy","4","3","control","2","bapi",,,,"jusp","ag",,,,,,
"barloy","4","3","control","2","bapi",,,,"ag",,,,,,,
"barloy","4","3","control","2","bapi",,,,"ag",,,,,,,
"barloy","4","3","control","2","bapi",,,,"ag",,,,,,,
"barloy","4","3","control","2","bapi",,,,"bu",,,,,,,
"barloy","4","3","control","2","bapi",,,,"bu","ag",,,,,,
"barloy","4","3","control","2","bapi",,,,"ag","bu",,,,,,
"barloy","4","3","control","2","bapi",,,,"jusp","bu",,,,,,
"barloy","4","3","control","2","bapi",,,,"ag",,,,,,,
"barloy","4","3","control","2","bapi",,,,"bu",,,,,,,
"barloy","4","3","control","2","bapi",,,,"jusp",,,,,,,
"barloy","4","3","control","2",,,,,"bu","ag","jusp",,,,,
"barloy","4","3","control","2",,,,,"masp",,,,,,,
"barloy","4","3","control","2",,,,,"onn","onh",,,,,,
"barloy","4","3","control","2","bapi",,,,"coma","onh",,,,,,
"barloy","4","3","control","2",,,,,"coma",,,,,,,
"barloy","4","3","control","2","bapi",,,,"coma",,,,,,,
"barloy","4","3","control","2","bapi",,,,"l",,,,,,,
"barloy","4","3","control","2","bapi",,,,"l",,,,,,,
"barloy","4","3","control","2","bapi",,,,"coma",,,,,,,
"barloy","4","3","control","2","bapi",,,,"l",,,,,,,
"barloy","4","3","control","2","bapi",,,,"l",,,,,,,
"barloy","4","3","control","2","bapi",,,,"l",,,,,,,
"barloy","4","3","control","2","bapi",,,,"hiin",,,,,,,
"barloy","4","3","control","2",,,,,"hiin",,,,,,,
