"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","6","6","control","1","bapi",,,,"casp",,,,,,,
"pilarcitos","6","6","control","1","bapi",,,,"amsp","vite","femy",,,,,
"pilarcitos","6","6","control","1","bapi",,,,"vite","avba",,,,,,
"pilarcitos","6","6","control","1",,,,,"vite","capy","avba",,,,,
"pilarcitos","6","6","control","1","bapi",,,,"capy","sool","avba",,,,,
"pilarcitos","6","6","control","1","bapi",,,,"capy","vite","casp",,,,,
"pilarcitos","6","6","control","1",,,,,"femy","vite","capy","casp",,,,
"pilarcitos","6","6","control","1",,,,,"capy","casp","femy","brho","vite",,,
"pilarcitos","6","6","control","1",,,,,"femy","brho","casp",,,,,
"pilarcitos","6","6","control","1",,,,,"casp","vite","anar",,,,,
"pilarcitos","6","6","control","1",,,,,"vite","casp","avba",,,,,
"pilarcitos","6","6","control","1","bapi",,,,"casp","vite",,,,,,
"pilarcitos","6","6","control","1","bapi",,,,"casp",,,,,,,
"pilarcitos","6","6","control","1","bapi",,,,"capy","casp",,,,,,
"pilarcitos","6","6","control","1","bapi",,,,"capy","casp","vite",,,,,
"pilarcitos","6","6","control","1","bapi",,,,"capy","casp","vite",,,,,
"pilarcitos","6","6","control","1","bapi",,,,"casp","vite","capy",,,,,
"pilarcitos","6","6","control","1","bapi",,,,"gasp","vite","casp","anar",,,,
"pilarcitos","6","6","control","1","bapi",,,,"vite","casp",,,,,,
"pilarcitos","6","6","control","1","bapi",,,,"gemo","casp","vite",,,,,
"pilarcitos","6","6","control","1","bapi",,,,"casp","femy",,,,,,
"pilarcitos","6","6","control","1","bapi",,,,"vite","jusp","casp","femy",,,,
"pilarcitos","6","6","control","1",,,,,"jusp",,,,,,,
"pilarcitos","6","6","control","1",,,,,"gemo","jusp",,,,,,
"pilarcitos","6","6","control","1","bapi",,,,"vite","jusp","femy",,,,,
"pilarcitos","6","6","control","1","bapi",,,,"jusp","capy","vite",,,,,
"pilarcitos","6","6","control","1","bapi",,,,"jusp","anar","capy","casp",,,,
"pilarcitos","6","6","control","1","bapi",,,,"capy",,,,,,,
"pilarcitos","6","6","control","1","bapi",,,,"capy","anar",,,,,,
"pilarcitos","6","6","control","1","bapi",,,,"anar","vite","femy",,,,,
"pilarcitos","6","6","control","1","bapi",,,,"anar",,,,,,,
"pilarcitos","6","6","control","1","bapi",,,,"anar",,,,,,,
"pilarcitos","6","6","control","1","bapi",,,,"vite",,,,,,,
"pilarcitos","6","6","control","1","bapi",,,,"vite","anar","casp",,,,,
"pilarcitos","6","6","control","1","bapi",,,,"vite","casp",,,,,,
"pilarcitos","6","6","control","1","bapi",,,,"vite","casp",,,,,,
"pilarcitos","6","6","control","1","bapi",,,,"casp","vite",,,,,,
"pilarcitos","6","6","control","1","bapi",,,,"casp","vite",,,,,,
"pilarcitos","6","6","control","1","bapi",,,,"casp","capy",,,,,,
"pilarcitos","6","6","control","1","bapi",,,,"jusp","vite",,,,,,
