"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","2","3","control","2",,,,,"ardo",,,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"sacr","stsp",,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"ardo",,,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"gapo",,,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"gapo",,,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"gapo","anar",,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"gapo","stsp",,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"sacr","gapo",,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"gapo","stsp",,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"sacr","stsp",,,,,,
"pilarcitos","2","3","control","2",,,,,"sacr","gapo","letr",,,,,
"pilarcitos","2","3","control","2",,,,,"sacr","stsp",,,,,,
"pilarcitos","2","3","control","2",,,,,"gapo",,,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"anar",,,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"gapo","stsp",,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"gapo","stsp",,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"gapo","stsp","anar",,,,,
"pilarcitos","2","3","control","2","bapi",,,,"stpu","gapo",,,,,,
"pilarcitos","2","3","control","2",,,,,"gapo","stsp",,,,,,
"pilarcitos","2","3","control","2",,,,,"stpu",,,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"ceme",,,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"sacr","stsp",,,,,,
"pilarcitos","2","3","control","2",,,,,"gemo",,,,,,,
"pilarcitos","2","3","control","2",,,,,"ardo","sacr",,,,,,
"pilarcitos","2","3","control","2",,,,,"sacr",,,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"sacr","vumy",,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"ardo","vumy",,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"ardo",,,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"ardo",,,,,,,
"pilarcitos","2","3","control","2","bapi",,,,"gemo","ardo",,,,,,
"pilarcitos","2","3","control","2",,,,,"sacr","bapi",,,,,,
"pilarcitos","2","3","control","2",,,,,"ardo",,,,,,,
"pilarcitos","2","3","control","2",,,,,"sacr","bapi",,,,,,
"pilarcitos","2","3","control","2",,,,,"ardo",,,,,,,
"pilarcitos","2","3","control","2",,,,,"sacr","stsp",,,,,,
"pilarcitos","2","3","control","2",,,,,"sacr","o",,,,,,
