"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","2","2","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"anar",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"anar",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"ardo","sacr",,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr",,,,,,,
"pilarcitos","2","2","control","1",,,,,"stle","sacr",,,,,,
"pilarcitos","2","2","control","1",,,,,"sacr",,,,,,,
"pilarcitos","2","2","control","1",,,,,"sacr","stle",,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr","stle",,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr","stle","gapo",,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr","stle",,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr","stle",,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr","stle",,,,,,
"pilarcitos","2","2","control","1",,,,,"stle","sacr",,,,,,
"pilarcitos","2","2","control","1",,,,,"sacr",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"anar","sacr",,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr","anar",,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr",,,,,,,
"pilarcitos","2","2","control","1",,,,,"sacr","anar","aica",,,,,
"pilarcitos","2","2","control","1",,,,,"anar",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"anar","aica",,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"aica",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr",,,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr","ardo",,,,,,
"pilarcitos","2","2","control","1","bapi",,,,"sacr",,,,,,,
