"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","5","1","control","1","bapi",,,,"bg",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"anca",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"anca",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"bg",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"bg",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"bg",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"sacr",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"bg",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"bg",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"bg",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"bg",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"bg",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"bg",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"bg",,,,,,,
"pilarcitos","5","1","control","1",,,,,"l",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"gapo","sacr",,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"anca",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"gapo","anca",,,,,,
"pilarcitos","5","1","control","1",,,,,"gapo","anca",,,,,,
"pilarcitos","5","1","control","1",,,,,"gapo","anca",,,,,,
"pilarcitos","5","1","control","1",,,,,"gapo",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"stbu",,,,,,,
"pilarcitos","5","1","control","1",,,,,"stbu","anca",,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"stbu",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"anca",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"anca",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"anca","stbu",,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"anca","stbu",,,,,,
"pilarcitos","5","1","control","1","bapi",,,,"anca","stbu",,,,,,
