"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","0","5","control","1",,,,,"l",,,,,,,
"pilarcitos","0","5","control","1",,,,,"bg",,,,,,,
"pilarcitos","0","5","control","1",,,,,"bg",,,,,,,
"pilarcitos","0","5","control","1",,,,,"bg",,,,,,,
"pilarcitos","0","5","control","1",,,,,"bg",,,,,,,
"pilarcitos","0","5","control","1",,,,,"l",,,,,,,
"pilarcitos","0","5","control","1",,,,,"l",,,,,,,
"pilarcitos","0","5","control","1",,,,,"l",,,,,,,
"pilarcitos","0","5","control","1",,,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1",,,,,"l",,,,,,,
"pilarcitos","0","5","control","1",,,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1",,,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1",,,,,"l",,,,,,,
"pilarcitos","0","5","control","1",,,,,"l",,,,,,,
"pilarcitos","0","5","control","1",,,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","0","5","control","1","bapi",,,,"l",,,,,,,
