"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","5","3","control","2","bapi",,,,"stce",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"d",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"d",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"o",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"gapo",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"gapo","stce",,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"stce",,,,,,,
"pilarcitos","5","3","control","2",,,,,"stce",,,,,,,
"pilarcitos","5","3","control","2",,,,,"gapo","stce",,,,,,
"pilarcitos","5","3","control","2",,,,,"l",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"ardo",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"sacr","stsp",,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","5","3","control","2",,,,,"stce","ardo",,,,,,
"pilarcitos","5","3","control","2",,,,,"stce",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"brho","aica",,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"anar","brho","stce","aica",,,,
"pilarcitos","5","3","control","2","bapi",,,,"brho","stce","aica","gemo",,,,
"pilarcitos","5","3","control","2","bapi",,,,"stce",,,,,,,
"pilarcitos","5","3","control","2",,,,,"bg",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"stce",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"ardo","stce","brho",,,,,
"pilarcitos","5","3","control","2","bapi",,,,"ardo","jusp",,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"jusp","gapo",,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"stce",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"d",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"d",,,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"d",,,,,,,
"pilarcitos","5","3","control","2",,,,,"stce","brdi",,,,,,
"pilarcitos","5","3","control","2","bapi",,,,"ardo","stce",,,,,,
