"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","2","6","control","2","d",,,,"vumy",,,,,,,
"pilarcitos","2","6","control","2","d",,,,"stpu",,,,,,,
"pilarcitos","2","6","control","2","d",,,,"anar",,,,,,,
"pilarcitos","2","6","control","2","d",,,,"vumy",,,,,,,
"pilarcitos","2","6","control","2",,,,,"stpu","anar",,,,,,
"pilarcitos","2","6","control","2",,,,,"stpu","anar",,,,,,
"pilarcitos","2","6","control","2","bapi",,,,"stpu","anar","vumy",,,,,
"pilarcitos","2","6","control","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","2","6","control","2","d",,,,"vumy","anar",,,,,,
"pilarcitos","2","6","control","2","d",,,,"aica","anar",,,,,,
"pilarcitos","2","6","control","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","6","control","2","d",,,,"vumy","chpo",,,,,,
"pilarcitos","2","6","control","2","bapi",,,,"aica",,,,,,,
"pilarcitos","2","6","control","2","bapi",,,,"aica","stpu","anar",,,,,
"pilarcitos","2","6","control","2","bapi",,,,"vumy","aica","stpu",,,,,
"pilarcitos","2","6","control","2",,,,,"anar",,,,,,,
"pilarcitos","2","6","control","2","d",,,,"anar","stpu",,,,,,
"pilarcitos","2","6","control","2","bapi",,,,"stpu","anar",,,,,,
"pilarcitos","2","6","control","2","d",,,,"stpu","anar",,,,,,
"pilarcitos","2","6","control","2","bapi",,,,"vumy","stpu",,,,,,
"pilarcitos","2","6","control","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","2","6","control","2","bapi",,,,"vumy","stpu",,,,,,
"pilarcitos","2","6","control","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","6","control","2","bapi",,,,"anar","vumy",,,,,,
"pilarcitos","2","6","control","2","bapi",,,,"vumy","psca",,,,,,
"pilarcitos","2","6","control","2",,,,,"vumy",,,,,,,
"pilarcitos","2","6","control","2","d",,,,"vumy",,,,,,,
"pilarcitos","2","6","control","2",,,,,"stpu","anar",,,,,,
"pilarcitos","2","6","control","2",,,,,"anar","vumy",,,,,,
"pilarcitos","2","6","control","2",,,,,"stpu","anar",,,,,,
"pilarcitos","2","6","control","2",,,,,"stpu","anar",,,,,,
"pilarcitos","2","6","control","2",,,,,"stpu",,,,,,,
"pilarcitos","2","6","control","2",,,,,"stpu",,,,,,,
"pilarcitos","2","6","control","2","bapi",,,,"aica","vumy",,,,,,
"pilarcitos","2","6","control","2",,,,,"sacr","aica",,,,,,
"pilarcitos","2","6","control","2","bapi",,,,"stpu","aica",,,,,,
"pilarcitos","2","6","control","2",,,,,"aica","brho",,,,,,
"pilarcitos","2","6","control","2","bapi",,,,"sacr","meca",,,,,,
"pilarcitos","2","6","control","2","bapi",,,,"anar","brho",,,,,,
"pilarcitos","2","6","control","2",,,,,"aica",,,,,,,
