"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"barloy","4","5","control","1",,,,,"onh","bu",,,,,,
"barloy","4","5","control","1","bapi",,,,"ag",,,,,,,
"barloy","4","5","control","1","bapi",,,,"l",,,,,,,
"barloy","4","5","control","1","bapi",,,,"l",,,,,,,
"barloy","4","5","control","1","bapi",,,,"bg",,,,,,,
"barloy","4","5","control","1","bapi",,,,"bg",,,,,,,
"barloy","4","5","control","1","bapi",,,,"onh",,,,,,,
"barloy","4","5","control","1","bapi",,,,"ag",,,,,,,
"barloy","4","5","control","1","bapi",,,,"l",,,,,,,
"barloy","4","5","control","1","bapi",,,,"l",,,,,,,
"barloy","4","5","control","1","bapi",,,,"jusp",,,,,,,
"barloy","4","5","control","1","bapi",,,,"l",,,,,,,
"barloy","4","5","control","1","bapi",,,,"bg",,,,,,,
"barloy","4","5","control","1","bapi",,,,"ag",,,,,,,
"barloy","4","5","control","1","bapi",,,,"ag",,,,,,,
"barloy","4","5","control","1","bapi",,,,"ag",,,,,,,
"barloy","4","5","control","1","bapi",,,,"bg",,,,,,,
"barloy","4","5","control","1","bapi",,,,"ag",,,,,,,
"barloy","4","5","control","1","bapi",,,,"bg",,,,,,,
"barloy","4","5","control","1","bapi",,,,"bg",,,,,,,
"barloy","4","5","control","1","bapi",,,,"jusp","onh",,,,,,
"barloy","4","5","control","1","bapi",,,,"jusp",,,,,,,
"barloy","4","5","control","1","bapi",,,,"jusp",,,,,,,
"barloy","4","5","control","1","bapi",,,,"jusp",,,,,,,
"barloy","4","5","control","1","bapi",,,,"jusp",,,,,,,
"barloy","4","5","control","1",,,,,"jusp",,,,,,,
"barloy","4","5","control","1",,,,,"jusp",,,,,,,
"barloy","4","5","control","1",,,,,"jusp","ag",,,,,,
"barloy","4","5","control","1",,,,,"ag",,,,,,,
"barloy","4","5","control","1",,,,,"ag",,,,,,,
"barloy","4","5","control","1",,,,,"bg",,,,,,,
"barloy","4","5","control","1",,,,,"ag",,,,,,,
"barloy","4","5","control","1","bapi",,,,"ag",,,,,,,
"barloy","4","5","control","1","bapi",,,,"ag",,,,,,,
"barloy","4","5","control","1","bapi",,,,"ag",,,,,,,
"barloy","4","5","control","1","bapi",,,,"ag",,,,,,,
"barloy","4","5","control","1",,,,,"ag",,,,,,,
"barloy","4","5","control","1",,,,,"onn",,,,,,,
"barloy","4","5","control","1","bapi",,,,"onh",,,,,,,
"barloy","4","5","control","1",,,,,"masp","ag",,,,,,
