"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"barloy","1","4","control","2","bapi",,,,"juoc","femy",,,,,,
"barloy","1","4","control","2","na",,,,"juoc","femy",,,,,,
"barloy","1","4","control","2","bapi",,,,"juph",,,,,,,
"barloy","1","4","control","2","bapi",,,,"juph","femy",,,,,,
"barloy","1","4","control","2","bapi",,,,"femy",,,,,,,
"barloy","1","4","control","2","bapi",,,,"juph",,,,,,,
"barloy","1","4","control","2","bapi",,,,"juoc","juph",,,,,,
"barloy","1","4","control","2","bapi",,,,"juoc","juph",,,,,,
"barloy","1","4","control","2","bapi",,,,"gedi","juph",,,,,,
"barloy","1","4","control","2","bapi",,,,"juph","juoc",,,,,,
"barloy","1","4","control","2","bapi",,,,"juph","juoc",,,,,,
"barloy","1","4","control","2","bapi",,,,"jupa","juph",,,,,,
"barloy","1","4","control","2","bapi",,,,"eltr","jupa",,,,,,
"barloy","1","4","control","2","na",,,,"jupa","brho",,,,,,
"barloy","1","4","control","2","na",,,,"jupa","juph",,,,,,
"barloy","1","4","control","2","bapi",,,,"juoc",,,,,,,
"barloy","1","4","control","2","bapi",,,,"juoc","juph",,,,,,
"barloy","1","4","control","2","bapi",,,,"gaap","juoc","juph",,,,,
"barloy","1","4","control","2","bapi",,,,"eltr","juph",,,,,,
"barloy","1","4","control","2","bapi",,,,"eltr","jupa","juph",,,,,
"barloy","1","4","control","2","bapi",,,,"jupa","juoc","juph",,,,,
"barloy","1","4","control","2","bapi",,,,"juph","juoc",,,,,,
"barloy","1","4","control","2","na",,,,"juph","brho","gedi",,,,,
"barloy","1","4","control","2","bapi",,,,"femy","brho",,,,,,
"barloy","1","4","control","2","bapi",,,,"femy","gapo",,,,,,
"barloy","1","4","control","2","na",,,,"brho","juph",,,,,,
"barloy","1","4","control","2","bapi",,,,"brho",,,,,,,
"barloy","1","4","control","2","bapi",,,,"femy",,,,,,,
"barloy","1","4","control","2","na",,,,"brho","femy",,,,,,
"barloy","1","4","control","2","na",,,,"brho","femy",,,,,,
"barloy","1","4","control","2","na",,,,"brho","femy",,,,,,
"barloy","1","4","control","2","bapi",,,,"hygl","femy",,,,,,
"barloy","1","4","control","2","bapi",,,,"gedi","femy",,,,,,
"barloy","1","4","control","2","bapi",,,,"femy",,,,,,,
"barloy","1","4","control","2","bapi",,,,"juph",,,,,,,
"barloy","1","4","control","2","na",,,,"femy",,,,,,,
"barloy","1","4","control","2","na",,,,"hygl","femy",,,,,,
"barloy","1","4","control","2","na",,,,"femy","aica",,,,,,
"barloy","1","4","control","2","na",,,,"femy","aica",,,,,,
"barloy","1","4","control","2","na",,,,"femy",,,,,,,
