"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","3","1","control","2","bapi",,,,"femy","brdi","todi","juoc","brmi",,,
"pilarcitos","3","1","control","2","bapi",,,,"juoc","brca","todi",,,,,
"pilarcitos","3","1","control","2","bapi",,,,"brdi","gapo",,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"gapo","brdi",,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"gapo",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"gapo",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"sacr","juoc",,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"juoc",,,,,,,
"pilarcitos","3","1","control","2",,,,,"juoc","brdi",,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"juoc",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"juoc",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"juoc","sacr",,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"pslu",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"juoc","sacr",,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"juoc","sacr",,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"sacr","brmi",,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"juoc","gapo",,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"sacr","brmi",,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"sacr","juoc",,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"sacr","juoc","gapo",,,,,
"pilarcitos","3","1","control","2","bapi",,,,"capy",,,,,,,
"pilarcitos","3","1","control","2","bapi",,,,"l",,,,,,,
