"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"barloy","4","2","control","2","masp",,,,"onn","onh",,,,,,
"barloy","4","2","control","2",,,,,"onh","bu",,,,,,
"barloy","4","2","control","2",,,,,"onh","onn",,,,,,
"barloy","4","2","control","2",,,,,"onh","onn",,,,,,
"barloy","4","2","control","2",,,,,"onh","onn","coma",,,,,
"barloy","4","2","control","2",,,,,"onh","onn",,,,,,
"barloy","4","2","control","2",,,,,"onh",,,,,,,
"barloy","4","2","control","2",,,,,"onh",,,,,,,
"barloy","4","2","control","2","d",,,,"onh","onn",,,,,,
"barloy","4","2","control","2","d",,,,"l",,,,,,,
"barloy","4","2","control","2","d",,,,"onh",,,,,,,
"barloy","4","2","control","2","bapi",,,,"onh","onn",,,,,,
"barloy","4","2","control","2",,,,,"onn",,,,,,,
"barloy","4","2","control","2","bapi",,,,"onh",,,,,,,
"barloy","4","2","control","2","bapi",,,,"onn",,,,,,,
"barloy","4","2","control","2","bapi",,,,"onn","onh",,,,,,
"barloy","4","2","control","2","bapi",,,,"onn","onh",,,,,,
"barloy","4","2","control","2","bapi",,,,"bg",,,,,,,
"barloy","4","2","control","2","bapi",,,,"bg",,,,,,,
"barloy","4","2","control","2","bapi",,,,"onn",,,,,,,
"barloy","4","2","control","2",,,,,"onn","onh",,,,,,
"barloy","4","2","control","2","bapi",,,,"onn","onh",,,,,,
"barloy","4","2","control","2",,,,,"onh",,,,,,,
"barloy","4","2","control","2","bapi",,,,"bg",,,,,,,
"barloy","4","2","control","2","bapi",,,,"onh",,,,,,,
"barloy","4","2","control","2","bapi",,,,"onh",,,,,,,
"barloy","4","2","control","2","bapi",,,,"onh",,,,,,,
"barloy","4","2","control","2","bapi",,,,"onn",,,,,,,
"barloy","4","2","control","2","bapi",,,,"onn","onh",,,,,,
"barloy","4","2","control","2",,,,,"hiin",,,,,,,
"barloy","4","2","control","2",,,,,"hiin","onn",,,,,,
"barloy","4","2","control","2","d",,,,"onn","onh",,,,,,
"barloy","4","2","control","2","d",,,,"l",,,,,,,
"barloy","4","2","control","2","d",,,,"l",,,,,,,
"barloy","4","2","control","2","d",,,,"bg",,,,,,,
"barloy","4","2","control","2","d",,,,"onh",,,,,,,
"barloy","4","2","control","2",,,,,"onh",,,,,,,
"barloy","4","2","control","2",,,,,"onh",,,,,,,
"barloy","4","2","control","2",,,,,"l",,,,,,,
"barloy","4","2","control","2",,,,,"l",,,,,,,
