"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","2","6","browsed","2","d",,,,"stpu",,,,,,,
"pilarcitos","2","6","browsed","2",,,,,"gemo","hygl","stpu",,,,,
"pilarcitos","2","6","browsed","2",,,,,"vumy","stpu","hosp",,,,,
"pilarcitos","2","6","browsed","2","d",,,,"stpu","vumy",,,,,,
"pilarcitos","2","6","browsed","2","d",,,,"stpu",,,,,,,
"pilarcitos","2","6","browsed","2","d",,,,"stpu","hygl",,,,,,
"pilarcitos","2","6","browsed","2",,,,,"vumy","lost",,,,,,
"pilarcitos","2","6","browsed","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","2","6","browsed","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","2","6","browsed","2","bapi",,,,"stpu","hygl",,,,,,
"pilarcitos","2","6","browsed","2","bapi",,,,"aica",,,,,,,
"pilarcitos","2","6","browsed","2",,,,,"hygl","aica","stpu",,,,,
"pilarcitos","2","6","browsed","2",,,,,"hygl","stpu","lost",,,,,
"pilarcitos","2","6","browsed","2","d",,,,"stpu","hygl",,,,,,
"pilarcitos","2","6","browsed","2","d",,,,"brdi","stpu",,,,,,
"pilarcitos","2","6","browsed","2","d",,,,"anar",,,,,,,
"pilarcitos","2","6","browsed","2",,,,,"erbo","stpu","luna",,,,,
"pilarcitos","2","6","browsed","2",,,,,"lost","aica","stpu",,,,,
"pilarcitos","2","6","browsed","2",,,,,"aica","stpu","vumy",,,,,
"pilarcitos","2","6","browsed","2",,,,,"aica","stpu",,,,,,
"pilarcitos","2","6","browsed","2",,,,,"stpu","brho","trcr",,,,,
"pilarcitos","2","6","browsed","2","d",,,,"brho","stpu","hygl",,,,,
"pilarcitos","2","6","browsed","2",,,,,"vumy",,,,,,,
"pilarcitos","2","6","browsed","2",,,,,"vumy","brho",,,,,,
"pilarcitos","2","6","browsed","2",,,,,"vumy","hygl","stpu","bapi",,,,
"pilarcitos","2","6","browsed","2",,,,,"stpu","brho",,,,,,
"pilarcitos","2","6","browsed","2",,,,,"bapi","hygl",,,,,,
"pilarcitos","2","6","browsed","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","2","6","browsed","2","bapi",,,,"hygl","vumy",,,,,,
"pilarcitos","2","6","browsed","2","bapi",,,,"brdi","hygl",,,,,,
"pilarcitos","2","6","browsed","2","bapi",,,,"lost","aica",,,,,,
"pilarcitos","2","6","browsed","2","bapi",,,,"stpu","meca",,,,,,
"pilarcitos","2","6","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","2","6","browsed","2",,,,,"stpu","erci",,,,,,
"pilarcitos","2","6","browsed","2",,,,,"stpu","anar",,,,,,
"pilarcitos","2","6","browsed","2",,,,,"avba","stpu",,,,,,
"pilarcitos","2","6","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","2","6","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","2","6","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","2","6","browsed","2",,,,,"stpu",,,,,,,
