"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","5","6","browsed","2",,,,,"stpu","brho","brdi","anar","femy",,,
"pilarcitos","5","6","browsed","2",,,,,"brdi","femy",,,,,,
"pilarcitos","5","6","browsed","2",,,,,"anar","brdi","femy","stpu",,,,
"pilarcitos","5","6","browsed","2",,,,,"stpu","brho","brdi",,,,,
"pilarcitos","5","6","browsed","2",,,,,"brho","stpu",,,,,,
"pilarcitos","5","6","browsed","2",,,,,"brdi",,"femy","stpu",,,,
"pilarcitos","5","6","browsed","2",,,,,"stpu","brho","brdi",,,,,
"pilarcitos","5","6","browsed","2",,,,,"brdi","stpu",,,,,,
"pilarcitos","5","6","browsed","2",,,,,"brdi","stpu",,,,,,
"pilarcitos","5","6","browsed","2",,,,,"brdi","stpu",,,,,,
"pilarcitos","5","6","browsed","2",,,,,"brdi","stpu","gemo","anar",,,,
"pilarcitos","5","6","browsed","2",,,,,"stpu","brdi","anar",,,,,
"pilarcitos","5","6","browsed","2",,,,,"stpu","brdi","anar",,,,,
"pilarcitos","5","6","browsed","2",,,,,"stpu","brdi","brho","anar",,,,
"pilarcitos","5","6","browsed","2",,,,,"stpu","brdi","anar",,,,,
"pilarcitos","5","6","browsed","2",,,,,"stpu","brdi","femy","anar",,,,
"pilarcitos","5","6","browsed","2",,,,,"brdi","femy",,,,,,
"pilarcitos","5","6","browsed","2",,,,,"brdi","femy",,,,,,
"pilarcitos","5","6","browsed","2",,,,,"stpu","brdi","brho","avba",,,,
"pilarcitos","5","6","browsed","2",,,,,"stpu","brdi","brho",,,,,
"pilarcitos","5","6","browsed","2",,,,,"stpu","brdi","femy","gemo",,,,
"pilarcitos","5","6","browsed","2",,,,,"brdi","brho","gemo",,,,,
"pilarcitos","5","6","browsed","2",,,,,"brdi","gemo",,,,,,
"pilarcitos","5","6","browsed","2",,,,,"brdi",,,,,,,
"pilarcitos","5","6","browsed","2",,,,,"brdi",,,,,,,
"pilarcitos","5","6","browsed","2",,,,,"brdi","bapi",,,,,,
"pilarcitos","5","6","browsed","2",,,,,"brdi","femy",,,,,,
"pilarcitos","5","6","browsed","2","bapi",,,,"brdi","brho",,,,,,
"pilarcitos","5","6","browsed","2","bapi",,,,"avba","brdi","brho","femy",,,,
"pilarcitos","5","6","browsed","2","bapi",,,,"avba","brdi","brho","femy",,,,
"pilarcitos","5","6","browsed","2","bapi",,,,"brdi","brho","anar",,,,,
"pilarcitos","5","6","browsed","2",,,,,"avba","brdi","femy","gemo",,,,
"pilarcitos","5","6","browsed","2",,,,,"anar","brdi","brho","femy",,,,
"pilarcitos","5","6","browsed","2",,,,,"avba","femy",,,,,,
"pilarcitos","5","6","browsed","2",,,,,"anar","femy",,,,,,
"pilarcitos","5","6","browsed","2",,,,,"brho","brdi",,,,,,
"pilarcitos","5","6","browsed","2",,,,,"brdi","brho",,,,,,
"pilarcitos","5","6","browsed","2",,,,,"brdi","fepe",,,,,,
"pilarcitos","5","6","browsed","2",,,,,"brdi","anar","femy",,,,,
"pilarcitos","5","6","browsed","2",,,,,"brdi","anar",,,,,,
