"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","3","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"stle",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"juoc","ardo",,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"stle",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"ardo","sacr",,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"sacr","brmi",,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"juoc","aica","femy",,,,,
"pilarcitos","3","2","control","2","bapi",,,,"juoc","gapo","femy","sacr",,,,
"pilarcitos","3","2","control","2","bapi",,,,"juoc","brmi",,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"brmi",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"brmi","sacr","stle",,,,,
"pilarcitos","3","2","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"brmi","gapo",,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"sacr","gapo",,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"sacr","gapo",,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"gapo",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"juoc","gapo","femy",,,,,
"pilarcitos","3","2","control","2","bapi",,,,"gapo",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"sacr","gapo",,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"gapo",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"gapo",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"stle","gapo",,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"gapo","sacr",,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"gapo",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"gapo",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","3","2","control","2","bapi",,,,"l",,,,,,,
