"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","5","6","control","1",,,,,"chpo","brho",,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"chpo",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"stsp",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"chpo",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"chpo",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"chpo",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"bapi",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,,,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","6","control","1",,,,,"brho","stsp",,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"stsp",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"stsp",,,,,,,
"pilarcitos","5","6","control","1",,,,,"anar",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"anar",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"anar",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","6","control","1",,,,,"l",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"anar",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"bg",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"anar","sool",,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"anar",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"stsp",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"stsp",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"anar",,,,,,,
"pilarcitos","5","6","control","1",,,,,"anar",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"anar",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"stsp",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"stsp","anar",,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"l",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"brma",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"anar",,,,,,,
"pilarcitos","5","6","control","1",,,,,"bg",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"stsp",,,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"femy","stsp",,,,,,
"pilarcitos","5","6","control","1","bapi",,,,"brma","anar","stsp",,,,,
