"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","1","6","browsed","2","d",,,,"brdi","stsp",,,,,,
"pilarcitos","1","6","browsed","2","d",,,,"bg",,,,,,,
"pilarcitos","1","6","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","1","6","browsed","2",,,,,"l",,,,,,,
"pilarcitos","1","6","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"brho","stsp","vusp",,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"stsp",,,,,,,
"pilarcitos","1","6","browsed","2",,,,,"stpu","vusp",,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"vusp",,,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"stsp",,,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"brdi",,,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"stsp","hygl",,,,,,
"pilarcitos","1","6","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"brho","brdi",,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","1","6","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,,,,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"stsp",,,,,,,
"pilarcitos","1","6","browsed","2",,,,,"stpu","brho",,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"bapi",,,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"bg",,,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"bg",,,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"stsp",,,,,,,
"pilarcitos","1","6","browsed","2",,,,,"bg",,,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"anar",,,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"bg",,,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"anar","aica",,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"brdi",,,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"stsp","brho",,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","6","browsed","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","1","6","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","1","6","browsed","2",,,,,"vusp","stpu",,,,,,
"pilarcitos","1","6","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","1","6","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","1","6","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","1","6","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","1","6","browsed","2",,,,,"l",,,,,,,
