"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"barloy","0","3","browsed","2","bapi",,,,"onh",,,,,,,
"barloy","0","3","browsed","2","bapi",,,,"onh",,,,,,,
"barloy","0","3","browsed","2","bapi",,,,"onh",,,,,,,
"barloy","0","3","browsed","2","bapi",,,,"ag","onh",,,,,,
"barloy","0","3","browsed","2",,,,,"ag","onh",,,,,,
"barloy","0","3","browsed","2",,,,,"onh",,,,,,,
"barloy","0","3","browsed","2","bapi",,,,"onh",,,,,,,
"barloy","0","3","browsed","2",,,,,"onh",,,,,,,
"barloy","0","3","browsed","2",,,,,"ag","onh",,,,,,
"barloy","0","3","browsed","2",,,,,"ag",,,,,,,
"barloy","0","3","browsed","2",,,,,"ag","other",,,,,,
"barloy","0","3","browsed","2","bapi",,,,"ag","other",,,,,,
"barloy","0","3","browsed","2","bapi",,,,"onh",,,,,,,
"barloy","0","3","browsed","2",,,,,"onh",,,,,,,
"barloy","0","3","browsed","2","bapi",,,,"onh",,,,,,,
"barloy","0","3","browsed","2","bapi",,,,"onh",,,,,,,
"barloy","0","3","browsed","2","bapi",,,,"onh","other",,,,,,
"barloy","0","3","browsed","2","bapi",,,,"onh",,,,,,,
"barloy","0","3","browsed","2","bapi",,,,"ag","other",,,,,,
"barloy","0","3","browsed","2","bapi",,,,"ag","other",,,,,,
"barloy","0","3","browsed","2","bapi",,,,"ag","other",,,,,,
"barloy","0","3","browsed","2","bapi",,,,"ag",,,,,,,
"barloy","0","3","browsed","2","bapi",,,,"ag","other",,,,,,
"barloy","0","3","browsed","2","bapi",,,,"ag","other",,,,,,
"barloy","0","3","browsed","2",,,,,"ag",,,,,,,
"barloy","0","3","browsed","2",,,,,"ag","other",,,,,,
"barloy","0","3","browsed","2",,,,,"ag","other",,,,,,
"barloy","0","3","browsed","2","bapi",,,,"ag",,,,,,,
"barloy","0","3","browsed","2","bapi",,,,"ag",,,,,,,
"barloy","0","3","browsed","2",,,,,"ag","other",,,,,,
"barloy","0","3","browsed","2",,,,,"ag",,,,,,,
"barloy","0","3","browsed","2",,,,,"ag",,,,,,,
"barloy","0","3","browsed","2",,,,,"ag","other",,,,,,
"barloy","0","3","browsed","2",,,,,"ag","other",,,,,,
"barloy","0","3","browsed","2",,,,,"ag","other",,,,,,
"barloy","0","3","browsed","2",,,,,"ag",,,,,,,
"barloy","0","3","browsed","2",,,,,"ag",,,,,,,
"barloy","0","3","browsed","2",,,,,"ag",,,,,,,
"barloy","0","3","browsed","2",,,,,"ag",,,,,,,
"barloy","0","3","browsed","2",,,,,"ag","other",,,,,,
