"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","1","4","browsed","2",,,,,"sacr","vusp",,,,,,
"pilarcitos","1","4","browsed","2",,,,,"sacr",,,,,,,
"pilarcitos","1","4","browsed","2",,,,,"l",,,,,,,
"pilarcitos","1","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","4","browsed","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","1","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","4","browsed","2","bapi",,,,"ardo",,,,,,,
"pilarcitos","1","4","browsed","2","bapi",,,,"bg",,,,,,,
"pilarcitos","1","4","browsed","2","bapi",,,,"bg",,,,,,,
"pilarcitos","1","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","4","browsed","2",,,,,"stsp",,,,,,,
"pilarcitos","1","4","browsed","2",,,,,"l",,,,,,,
"pilarcitos","1","4","browsed","2",,,,,"stsp",,,,,,,
"pilarcitos","1","4","browsed","2","bapi",,,,"ardo","vusp",,,,,,
"pilarcitos","1","4","browsed","2","bapi",,,,"bg",,,,,,,
"pilarcitos","1","4","browsed","2",,,,,"stsp",,,,,,,
"pilarcitos","1","4","browsed","2","bapi",,,,"bg",,,,,,,
"pilarcitos","1","4","browsed","2",,,,,"ardo","stpu",,,,,,
"pilarcitos","1","4","browsed","2","d",,,,"ardo","bapi","stpu",,,,,
"pilarcitos","1","4","browsed","2","d",,,,,,,,,,,
"pilarcitos","1","4","browsed","2","d",,,,,,,,,,,
"pilarcitos","1","4","browsed","2","d",,,,"stsp",,,,,,,
"pilarcitos","1","4","browsed","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","1","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","4","browsed","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","1","4","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","1","4","browsed","2",,,,,"ardo",,,,,,,
"pilarcitos","1","4","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","1","4","browsed","2",,,,,"stsp",,,,,,,
"pilarcitos","1","4","browsed","2",,,,,"bg",,,,,,,
"pilarcitos","1","4","browsed","2",,,,,"bapi",,,,,,,
"pilarcitos","1","4","browsed","2","d",,,,,,,,,,,
"pilarcitos","1","4","browsed","2","bapi",,,,"stsp",,,,,,,
"pilarcitos","1","4","browsed","2","bapi",,,,"bg",,,,,,,
"pilarcitos","1","4","browsed","2","d",,,,"stpu",,,,,,,
"pilarcitos","1","4","browsed","2","d",,,,"l",,,,,,,
"pilarcitos","1","4","browsed","2","d",,,,"vusp",,,,,,,
"pilarcitos","1","4","browsed","2","d",,,,"bg",,,,,,,
"pilarcitos","1","4","browsed","2","d",,,,"l",,,,,,,
