"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"onh","ag",,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"l",,,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"onh","ag",,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"onh","ag",,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"quag","ag",,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"ag","onh",,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2","d",,,,"ag","gapo",,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2","d",,,,"ag",,,,,,,
"barloy","4","2","browsed","2","d",,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"gapo",,,,,,,
"barloy","4","2","browsed","2","d",,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"onh","ag",,,,,,
"barloy","4","2","browsed","2",,,,,"onh","ag",,,,,,
"barloy","4","2","browsed","2",,,,,"ag","onh",,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2","d",,,,"ag",,,,,,,
"barloy","4","2","browsed","2","d",,,,"ag",,,,,,,
"barloy","4","2","browsed","2","d",,,,"ag",,,,,,,
"barloy","4","2","browsed","2","d",,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
"barloy","4","2","browsed","2",,,,,"ag",,,,,,,
