"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"barloy","1","6","browsed","1",,,,,"brdi","brho","femy",,,,,
"barloy","1","6","browsed","1",,,,,"brdi","aica","o",,,,,
"barloy","1","6","browsed","1","bapi",,,,"brho","aica",,,,,,
"barloy","1","6","browsed","1","bapi",,,,"brho",,,,,,,
"barloy","1","6","browsed","1",,,,,"brmi","brdi",,,,,,
"barloy","1","6","browsed","1",,,,,"brdi","brho",,,,,,
"barloy","1","6","browsed","1",,,,,"femy","bapi","brho",,,,,
"barloy","1","6","browsed","1",,,,,"brdi",,,,,,,
"barloy","1","6","browsed","1",,,,,"brdi","brho",,,,,,
"barloy","1","6","browsed","1",,,,,"femy","brdi",,,,,,
"barloy","1","6","browsed","1",,,,,"brdi","femy","brho",,,,,
"barloy","1","6","browsed","1",,,,,"brdi","femy",,,,,,
"barloy","1","6","browsed","1",,,,,"femy","brho",,,,,,
"barloy","1","6","browsed","1",,,,,"femy","brho",,,,,,
"barloy","1","6","browsed","1",,,,,"brdi","brho",,,,,,
"barloy","1","6","browsed","1",,,,,"brdi","brho","femy",,,,,
"barloy","1","6","browsed","1",,,,,"brdi","brho",,,,,,
"barloy","1","6","browsed","1",,,,,"brdi","brho","femy",,,,,
"barloy","1","6","browsed","1",,,,,"brdi","brho",,,,,,
"barloy","1","6","browsed","1",,,,,"brdi",,,,,,,
"barloy","1","6","browsed","1","bapi",,,,"brdi","brca",,,,,,
"barloy","1","6","browsed","1","bapi",,,,"brdi",,"brca",,,,,
"barloy","1","6","browsed","1","bapi",,,,"brdi",,,,,,,
"barloy","1","6","browsed","1","bapi",,,,"brdi",,,,,,,
"barloy","1","6","browsed","1","bapi",,,,"brdi","femy",,,,,,
"barloy","1","6","browsed","1","bapi",,,,"brdi","femy",,,,,,
"barloy","1","6","browsed","1","bapi",,,,"brdi","femy",,,,,,
"barloy","1","6","browsed","1","bapi",,,,"brho",,,,,,,
"barloy","1","6","browsed","1","bapi",,,,"brho","femy","brdi",,,,,
"barloy","1","6","browsed","1",,,,,"brdi","brho","femy",,,,,
"barloy","1","6","browsed","1","bapi",,,,"brdi","brho",,,,,,
"barloy","1","6","browsed","1","bapi",,,,"sacr","brca",,,,,,
"barloy","1","6","browsed","1","bapi",,,,"l",,,,,,,
"barloy","1","6","browsed","1","bapi",,,,"brca",,,,,,,
"barloy","1","6","browsed","1","bapi",,,,"brho","o",,,,,,
"barloy","1","6","browsed","1",,,,,"brho","o",,,,,,
"barloy","1","6","browsed","1","bapi",,,,"brho","brca",,,,,,
"barloy","1","6","browsed","1",,,,,"brho","femy",,,,,,
"barloy","1","6","browsed","1",,,,,"brho","femy",,,,,,
"barloy","1","6","browsed","1",,,,,"brca","femy",,,,,,
