"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"barloy","1","4","control","1","bapi",,,,"jupa","femy",,,,,,
"barloy","1","4","control","1","bapi",,,,"brho","jupa",,,,,,
"barloy","1","4","control","1","na",,,,"juoc",,,,,,,
"barloy","1","4","control","1","na",,,,"brho","juoc",,,,,,
"barloy","1","4","control","1","na",,,,"brho","juoc",,,,,,
"barloy","1","4","control","1","na",,,,"juoc","brho","femy",,,,,
"barloy","1","4","control","1","na",,,,"femy",,,,,,,
"barloy","1","4","control","1","na",,,,"brho","femy","juoc",,,,,
"barloy","1","4","control","1","na",,,,"brmi","juoc","femy",,,,,
"barloy","1","4","control","1","na",,,,"brho","brmi","femy",,,,,
"barloy","1","4","control","1","bapi",,,,"femy","juph",,,,,,
"barloy","1","4","control","1","bapi",,,,"avba","juoc","femy","juph",,,,
"barloy","1","4","control","1","bapi",,,,"brho","femy","juph",,,,,
"barloy","1","4","control","1","bapi",,,,"juph","femy",,,,,,
"barloy","1","4","control","1","bapi",,,,"eltr","femy","juph","miau",,,,
"barloy","1","4","control","1","bapi",,,,"jupa","juph",,,,,,
"barloy","1","4","control","1","na",,,,"juph","femy",,,,,,
"barloy","1","4","control","1","na",,,,"gedi","juoc",,,,,,
"barloy","1","4","control","1","bapi",,,,"brho","juph",,,,,,
"barloy","1","4","control","1","bapi",,,,"juph","femy",,,,,,
"barloy","1","4","control","1","bapi",,,,"juph","jupa",,,,,,
"barloy","1","4","control","1","bapi",,,,"gedi","juph",,,,,,
"barloy","1","4","control","1","bapi",,,,"juoc","juph",,,,,,
"barloy","1","4","control","1","bapi",,,,"juph",,,,,,,
"barloy","1","4","control","1","bapi",,,,"juph","juoc",,,,,,
"barloy","1","4","control","1","na",,,,"miau","juph","vuoc",,,,,
"barloy","1","4","control","1","bapi",,,,"juoc","gedi","juph",,,,,
"barloy","1","4","control","1","na",,,,"bapi","femy","jupa","juph","gedi",,,
"barloy","1","4","control","1","na",,,,"juoc","jupa","femy",,,,,
"barloy","1","4","control","1","na",,,,"bapi","femy",,,,,,
"barloy","1","4","control","1","na",,,,"femy",,,,,,,
"barloy","1","4","control","1","na",,,,"femy",,,,,,,
"barloy","1","4","control","1","na",,,,"juoc","juph","femy",,,,,
"barloy","1","4","control","1","na",,,,"juph",,,,,,,
"barloy","1","4","control","1","na",,,,"juph",,,,,,,
"barloy","1","4","control","1","na",,,,"juph",,,,,,,
"barloy","1","4","control","1","na",,,,"juph",,,,,,,
"barloy","1","4","control","1","d",,,,"juph",,,,,,,
"barloy","1","4","control","1","d",,,,"juph",,,,,,,
"barloy","1","4","control","1","bapi",,,,"juph",,,,,,,
