"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","2","4","control","2",,,,,"brho",,,,,,,
"pilarcitos","2","4","control","2",,,,,"brho",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"aica",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","4","control","2",,,,,"vumy",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"vumy","ardo",,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"vumy","anar",,,,,,
"pilarcitos","2","4","control","2",,,,,"anar","vumy",,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"vumy","bapi",,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"aica",,,,,,,
"pilarcitos","2","4","control","2","d",,,,"aica",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","4","control","2",,,,,"vumy",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"sacr","stsp",,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"stsp",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","2","4","control","2",,,,,"vumy",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"sacr","vumy",,,,,,
"pilarcitos","2","4","control","2",,,,,"stsp",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"stsp",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"vumy",,,,,,,
"pilarcitos","2","4","control","2","d",,,,"l",,,,,,,
"pilarcitos","2","4","control","2","d",,,,"bg",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","2","4","control","2","bapi",,,,"l",,,,,,,
